DestState,ArrDel15
NH,0.4794520547945205
CT,0.3761904761904762
NM,0.3684210526315789
RI,0.36086956521739133
AK,0.34328358208955223
OK,0.3172569706103994
IA,0.30113636363636365
PR,0.2915509718365728
OR,0.28809788654060065
AR,0.27953890489913547
VA,0.27454028842545436
FL,0.2649274905422446
CO,0.2589889159232225
WA,0.2569322569322569
TX,0.25629667782642285
IL,0.2553485162180814
HI,0.25149700598802394
IN,0.24561403508771928
SC,0.24472049689440994
MO,0.24436263230556834
NE,0.24055666003976142
TN,0.2390023812507833
LA,0.23886953155245838
NY,0.2386448948948949
GA,0.23418609671848015
MA,0.23304865424430643
WI,0.22679692951849267
PA,0.2196984157281924
ME,0.2189449801474759
NC,0.21637290195895087
VT,0.21511627906976744
OH,0.21332479180012812
UT,0.20875763747454176
NV,0.20626114523479294
CA,0.20260861037560066
KY,0.20115495668912417
AZ,0.19810085134250163
MI,0.19681206452228692
MN,0.17760252365930598
MT,0.16766467065868262
NJ,0.16630824372759856
AL,0.16
VI,0.14629629629629629
MD,0.1442551649148242
