Origin,ArrDel15
IAG,0.29357798165137616
SWF,0.2828828828828829
PBG,0.2729044834307992
LGA,0.24454030515355904
JFK,0.24015505333876647
ISP,0.23343059608170072
ROC,0.22423126894759637
SYR,0.22406726221755124
HPN,0.221492353484553
ALB,0.21871365954020933
BUF,0.20876233376233377
ELM,0.18189964157706093
BGM,0.15458937198067632
ITH,0.12698412698412698
