DepHour,ArrDel15
5,0.11396284236736258
6,0.11626584607151219
7,0.1293520009912031
8,0.14829215473963972
9,0.1648109359497299
10,0.1809337159655631
11,0.20170569920129958
12,0.20607386305829686
13,0.23656493117893476
14,0.29092079092079093
15,0.32437619961612285
16,0.3215631704064475
17,0.34386184681460275
18,0.35626828475457795
19,0.3342391304347826
20,0.34483769326591923
21,0.3389967637540453
22,0.3446969696969697
23,0.40625
