,missing_count,missing_pct
Snow_type,303452,98.17
Rain_type,266798,86.31
Reporting_Airline,0,0.0
Origin,0,0.0
cloud,0,0.0
gust,0,0.0
wdir,0,0.0
wspd,0,0.0
snow,0,0.0
rain,0,0.0
prcp,0,0.0
temp,0,0.0
DepTimeCategory,0,0.0
DepHour,0,0.0
IsHolidayWindow,0,0.0
IsFixedHoliday,0,0.0
IsWeekend,0,0.0
DayOfWeek,0,0.0
Month,0,0.0
Day,0,0.0
ArrDel15,0,0.0
DestState,0,0.0
Dest,0,0.0
Wind_type,0,0.0
