Reporting_Airline,ArrDel15
OH,0.3080642645453127
F9,0.30402344790834
HA,0.3023952095808383
G4,0.29112390184792486
AS,0.2846131040616662
B6,0.2683797141275147
UA,0.24237898620750242
AA,0.23416892571045658
DL,0.22730882974228983
MQ,0.22554660529344073
OO,0.2221240241567241
YX,0.21921581089874548
WN,0.21679909194097616
9E,0.2005837092066861
NK,0.19807883405101026
