feature,importance
cat__Origin_ISP,0.0022461058
cat__Origin_ROC,0.0022452604
cat__Route_BUF_MCO,0.002241701
cat__Dest_IAD,0.0022296943
cat__Route_JFK_SAV,0.0022243767
cat__Dest_IAH,0.0022077686
cat__Route_LGA_IAD,0.0022074496
cat__Route_HPN_MCO,0.0021709288
cat__Dest_PIT,0.0021619345
cat__Route_SYR_DTW,0.0021606812
cat__Dest_ACK,0.0021381145
cat__Dest_MSN,0.0021170801
cat__Route_ALB_DFW,0.0021107413
cat__Route_PBG_MYR,0.002078535
cat__Route_LGA_MYR,0.0020734747
cat__Route_BUF_LAX,0.0020719757
cat__Dest_MVY,0.002069891
cat__Route_ALB_MDW,0.0020660667
cat__Route_PBG_PIE,0.0020658204
cat__Route_ROC_DTW,0.0020647775
cat__Route_LGA_SRQ,0.002061426
cat__Route_BUF_PBI,0.0020561821
cat__Route_JFK_IAH,0.0020539847
cat__Dest_ABQ,0.0020343561
cat__Dest_MYR,0.0020250396
cat__Route_SYR_ATL,0.0020221462
cat__Dest_JAX,0.0020201376
cat__Dest_CLE,0.0019988702
cat__Reporting_Airline_NK,0.0019943137
cat__Dest_ILM,0.0019932387
cat__Route_SYR_MCO,0.0019881
cat__Route_BUF_MSP,0.0019796968
cat__Route_BUF_PHL,0.0019737468
cat__Dest_HYA,0.0019629595
cat__Dest_PHX,0.0019515626
cat__Route_JFK_ACK,0.0019464268
cat__Dest_RDU,0.0019296954
cat__Dest_GSO,0.0019132049
cat__Route_JFK_FLL,0.001912333
cat__Route_LGA_TYS,0.001912288
cat__Route_LGA_CLE,0.0019028517
cat__Route_JFK_SYR,0.0019021904
cat__Route_LGA_RSW,0.0018934456
cat__Dest_MDW,0.0018820064
cat__Route_LGA_ROA,0.0018794584
cat__Route_BUF_RSW,0.0018630435
cat__Route_JFK_PDX,0.0018592165
cat__Reporting_Airline_MQ,0.0018584038
cat__Dest_PWM,0.0018575543
cat__Dest_ORF,0.0018533814
cat__Route_ROC_ORD,0.0018417195
cat__Route_HPN_ACK,0.0018408779
cat__Dest_SLC,0.0018303854
cat__Route_JFK_CHS,0.0018288585
cat__Route_LGA_DSM,0.0018267179
cat__Route_JFK_MSP,0.0018124854
cat__Route_LGA_MSY,0.0018108445
cat__Route_SYR_DCA,0.0017937606
cat__Dest_MSP,0.0017910018
cat__Route_ROC_CLT,0.0017853159
cat__Route_ALB_LAS,0.0017803309
cat__Dest_RNO,0.0017790857
cat__Route_JFK_TPA,0.0017717155
cat__DepTimeCategory_Late Night,0.0017651712
cat__Route_JFK_MCI,0.0017520735
cat__Dest_HNL,0.001749408
cat__Route_BUF_JFK,0.0017403178
cat__Dest_OMA,0.0017372995
cat__Route_SYR_BNA,0.0017366422
cat__Dest_GRR,0.0017133028
cat__Dest_STT,0.0017114033
cat__Dest_BQN,0.0017052346
cat__Route_ALB_PIE,0.0016801269
cat__Route_SYR_MYR,0.0016740476
cat__Route_JFK_ONT,0.0016630484
cat__Route_LGA_MCO,0.0016611208
cat__Dest_PDX,0.001647593
cat__Route_BUF_RDU,0.001630431
cat__Route_LGA_IND,0.0016228354
cat__Route_JFK_PWM,0.0016204978
cat__Route_LGA_GSO,0.0016105383
cat__Route_BUF_LGA,0.0016073594
cat__Route_JFK_BUF,0.0015898292
cat__Route_ALB_LGA,0.0015874223
cat__Route_SWF_MYR,0.0015755174
cat__Origin_BGM,0.0015742877
cat__Route_SWF_SFB,0.0015664613
cat__Dest_RIC,0.001561599
cat__Route_ROC_MDW,0.0015321799
cat__Route_IAG_SFB,0.001518478
cat__Route_SYR_BOS,0.00150636
cat__Dest_SFB,0.0015012986
cat__Route_LGA_PWM,0.0015002398
cat__Dest_BGR,0.0014957788
cat__Route_LGA_HYA,0.001477363
cat__Dest_LAS,0.0014526156
cat__Dest_PSP,0.0014471065
cat__Dest_ANC,0.0014443125
cat__Dest_ROA,0.0014428763
cat__Route_JFK_ABQ,0.0014349599
cat__Route_BUF_ATL,0.001431082
cat__Route_LGA_RDU,0.0014150802
cat__Route_LGA_MIA,0.0013918198
cat__Route_LGA_SAV,0.0013870884
cat__Route_HPN_PBI,0.0013780153
cat__Route_LGA_MCI,0.0013670836
cat__Dest_CAE,0.0013660976
cat__Dest_BNA,0.0013613765
cat__Route_ROC_LAS,0.0013611623
cat__Route_SYR_LGA,0.0013434724
cat__Dest_CMH,0.0013387024
cat__Route_SYR_PGD,0.001336935
cat__Dest_PGD,0.0013104624
cat__Route_ALB_BWI,0.0013089627
cat__Route_LGA_BNA,0.0013055992
cat__Dest_ROC,0.0012983256
cat__Dest_BDL,0.0012977229
cat__Dest_PSE,0.0012936837
cat__Dest_TVC,0.001291637
cat__Dest_DSM,0.0012882138
cat__Route_SWF_PGD,0.0012739723
cat__Dest_SMF,0.001265369
cat__Dest_SNA,0.0012349378
cat__Route_SYR_PIE,0.0012249991
cat__Route_BUF_DAL,0.0012120137
cat__Route_JFK_PVD,0.0011848835
cat__Route_LGA_MSN,0.0011764355
cat__Route_HPN_ATL,0.0011585017
cat__Dest_BUR,0.0011130185
cat__Route_JFK_ORH,0.0011078079
cat__Route_SYR_MSP,0.0011040096
cat__Dest_HHH,0.0010530049
cat__Dest_PIE,0.001003917
cat__Route_ALB_SFB,0.0009491476
cat__Route_LGA_SBN,0.0008993635
cat__Route_PBG_SFB,0.00079754
cat__Route_ROC_MCO,0.0007332163
cat__Route_LGA_CMH,0.0007144039
cat__Origin_SWF,0.0005146194
cat__Route_HPN_MIA,0.00028064876
cat__Route_SYR_DEN,0.00018499693
cat__Wind_type_Very_Windy,0.0
cat__Route_BUF_SRQ,0.0
cat__Route_SYR_SFB,0.0
cat__Dest_MEM,0.0
cat__Dest_PNS,0.0
cat__Route_SYR_SBN,0.0
cat__Snow_type_Normal,0.0
cat__Route_LGA_RIC,0.0
cat__Route_LGA_MSP,0.0
cat__Route_SYR_RDU,0.0
cat__Route_LGA_ROC,0.0
cat__Rain_type_Heavy,0.0
cat__Route_LGA_PVD,0.0
cat__Route_LGA_PNS,0.0
cat__Route_SYR_SRQ,0.0
cat__Origin_ITH,0.0
cat__Route_BUF_MCI,0.0
cat__Route_ELM_PGD,0.0
cat__Route_LGA_MVY,0.0
cat__Origin_IAG,0.0
cat__Dest_AVL,0.0
cat__Route_LGA_OMA,0.0
cat__Route_LGA_ORH,0.0
cat__Dest_ONT,0.0
cat__Route_LGA_ORF,0.0
cat__Snow_type_Moderate,0.0
cat__Route_LGA_XNA,0.0
cat__Route_LGA_SLC,0.0
cat__Route_SYR_PHL,0.0
cat__Route_SYR_MIA,0.0
cat__Route_BUF_HOU,0.0
cat__Route_ROC_LGA,0.0
cat__Route_ROC_MIA,0.0
cat__Route_ROC_MYR,0.0
cat__Route_BUF_MDW,0.0
cat__Dest_LIT,0.0
cat__Route_ROC_PGD,0.0
cat__Route_ROC_RSW,0.0
cat__Route_ROC_TPA,0.0
cat__Route_SWF_FLL,0.0
cat__Route_SWF_PIE,0.0
cat__Route_SYR_IAD,0.0
cat__Route_BUF_MIA,0.0
cat__Route_BUF_FLL,0.0
cat__Route_ROC_IAD,0.0
cat__Route_ROC_EWR,0.0
cat__Dest_SAV,0.0
cat__Route_PBG_FLL,0.0
cat__Route_LGA_STL,0.0
cat__Dest_ALB,0.0
cat__Route_LGA_TUL,0.0
cat__Route_LGA_TVC,0.0
cat__Dest_PVD,0.0
cat__Route_BUF_MSY,0.0
cat__Route_BUF_PHX,0.0
cat__Dest_SBN,0.0
cat__Route_PBG_PGD,0.0
cat__Dest_ORH,0.0
cat__Route_PBG_SRQ,0.0
cat__Route_ROC_ATL,0.0
cat__Dest_AGS,0.0
cat__Route_BUF_DFW,0.0
cat__Route_LGA_MKE,0.0
cat__Dest_ITH,0.0
cat__Route_LGA_MEM,0.0
cat__Route_JFK_JAX,0.0
cat__Route_ALB_MIA,0.0
cat__Route_JFK_DEN,0.0
cat__Route_BUF_BNA,0.0
cat__Route_JFK_EGE,0.0
cat__Route_JFK_HNL,0.0
cat__Route_JFK_HYA,0.0
cat__Route_JFK_IAD,0.0
cat__Route_BUF_BWI,0.0
cat__Route_JFK_IND,0.0
cat__Route_JFK_ITH,0.0
cat__Route_HPN_DTW,0.0
cat__Dest_DAY,0.0
cat__Dest_GRB,0.0
cat__Route_JFK_MEM,0.0
cat__Route_JFK_MHT,0.0
cat__Dest_FCA,0.0
cat__Route_JFK_MKE,0.0
cat__Route_HPN_DCA,0.0
cat__Route_JFK_MSY,0.0
cat__Route_JFK_MVY,0.0
cat__Dest_EGE,0.0
cat__Route_ALB_EWR,0.0
cat__Route_ALB_MYR,0.0
cat__Route_JFK_CLE,0.0
cat__Route_JFK_BZN,0.0
cat__Route_JFK_BUR,0.0
cat__Route_IAG_MYR,0.0
cat__Route_IAG_PGD,0.0
cat__Dest_IND,0.0
cat__Route_BGM_DTW,0.0
cat__Route_ISP_FLL,0.0
cat__Route_ISP_MCO,0.0
cat__Route_ISP_MIA,0.0
cat__Route_ISP_MYR,0.0
cat__Route_ALB_TPA,0.0
cat__Route_ISP_RSW,0.0
cat__Route_ALB_SRQ,0.0
cat__Route_ITH_EWR,0.0
cat__Route_ITH_JFK,0.0
cat__Route_JFK_ANC,0.0
cat__Route_ALB_RSW,0.0
cat__Route_JFK_AUS,0.0
cat__Route_JFK_BDL,0.0
cat__Route_JFK_BGR,0.0
cat__Dest_HOU,0.0
cat__Route_JFK_BQN,0.0
cat__Route_JFK_BTV,0.0
cat__Dest_MHT,0.0
cat__Route_JFK_PSE,0.0
cat__Route_LGA_LIT,0.0
cat__Route_ELM_PIE,0.0
cat__Route_LGA_BZN,0.0
cat__Route_LGA_CAE,0.0
cat__Route_LGA_CHO,0.0
cat__Route_LGA_CHS,0.0
cat__Route_ELM_SFB,0.0
cat__Route_LGA_CVG,0.0
cat__Route_LGA_DAL,0.0
cat__Route_LGA_DAY,0.0
cat__Dest_TUL,0.0
cat__Dest_BTV,0.0
cat__Route_LGA_FCA,0.0
cat__Route_JFK_PSP,0.0
cat__Route_HPN_TPA,0.0
cat__Route_LGA_GRB,0.0
cat__Route_LGA_GRR,0.0
cat__Route_LGA_GSP,0.0
cat__Route_LGA_HHH,0.0
cat__Route_LGA_HOU,0.0
cat__Dest_STL,0.0
cat__Dest_BHM,0.0
cat__Route_LGA_ILM,0.0
cat__Route_LGA_JAX,0.0
cat__Dest_BZN,0.0
