feature,importance
cat__Route_ROC_RSW,0.0
cat__Route_ROC_PGD,0.0
cat__Route_ROC_ORD,0.0
cat__Route_ROC_MYR,0.0
cat__Route_ROC_MIA,0.0
cat__Route_ROC_MDW,0.0
cat__Route_ROC_MCO,0.0
cat__Route_ROC_LGA,0.0
cat__Route_ROC_LAS,0.0
cat__Route_ROC_JFK,0.0
cat__Route_ROC_IAD,0.0
cat__Route_SYR_DTW,0.0
cat__Route_SYR_EWR,0.0
cat__Route_SYR_FLL,0.0
cat__Route_SYR_SBN,0.0
cat__Wind_type_Very_Windy,0.0
cat__Snow_type_Normal,0.0
cat__Snow_type_Moderate,0.0
cat__Rain_type_Normal,0.0
cat__Rain_type_Moderate,0.0
cat__Rain_type_Heavy,0.0
cat__DepTimeCategory_Late Night,0.0
cat__DepTimeCategory_Afternoon,0.0
cat__Route_SYR_SRQ,0.0
cat__Route_SYR_SFB,0.0
cat__Route_SYR_RDU,0.0
cat__Route_SYR_IAD,0.0
cat__Route_SYR_PIE,0.0
cat__Route_SYR_PHL,0.0
cat__Route_SYR_PGD,0.0
cat__Route_SYR_ORD,0.0
cat__Route_SYR_MYR,0.0
cat__Route_SYR_MSP,0.0
cat__Route_SYR_MIA,0.0
cat__Route_SYR_MCO,0.0
cat__Route_SYR_LGA,0.0
cat__Route_SYR_JFK,0.0
cat__Route_ROC_FLL,0.0
cat__Route_ROC_EWR,0.0
cat__Route_ROC_DTW,0.0
cat__Route_LGA_MYR,0.0
cat__Route_LGA_PVD,0.0
cat__Route_LGA_PNS,0.0
cat__Route_LGA_PIT,0.0
cat__Route_JFK_BTV,0.0
cat__Route_LGA_PBI,0.0
cat__Route_LGA_ORH,0.0
cat__Route_LGA_ORF,0.0
cat__Route_LGA_ORD,0.0
cat__Route_LGA_OMA,0.0
cat__Route_LGA_OKC,0.0
cat__Route_LGA_MVY,0.0
cat__Route_LGA_RIC,0.0
cat__Route_LGA_MSY,0.0
cat__Route_LGA_MSP,0.0
cat__Route_LGA_MSN,0.0
cat__Route_LGA_MKE,0.0
cat__Route_LGA_MEM,0.0
cat__Route_LGA_MDW,0.0
cat__Route_LGA_MCI,0.0
cat__Route_LGA_LIT,0.0
cat__Route_LGA_JAX,0.0
cat__Route_LGA_IND,0.0
cat__Route_LGA_PWM,0.0
cat__Route_LGA_ROA,0.0
cat__Route_ROC_DCA,0.0
cat__Route_LGA_TYS,0.0
cat__Route_ROC_CLT,0.0
cat__Route_ROC_BWI,0.0
cat__Route_ROC_ATL,0.0
cat__Route_PBG_SRQ,0.0
cat__Route_PBG_SFB,0.0
cat__Route_PBG_PIE,0.0
cat__Route_PBG_PGD,0.0
cat__Route_PBG_MYR,0.0
cat__Route_PBG_FLL,0.0
cat__Route_LGA_XNA,0.0
cat__Route_LGA_TVC,0.0
cat__Route_LGA_ROC,0.0
cat__Route_LGA_TUL,0.0
cat__Route_LGA_TPA,0.0
cat__Route_LGA_SYR,0.0
cat__Route_LGA_STL,0.0
cat__Route_LGA_SRQ,0.0
cat__Route_LGA_SLC,0.0
cat__Route_LGA_SDF,0.0
cat__Route_LGA_SBN,0.0
cat__Route_LGA_SAV,0.0
cat__Route_LGA_RSW,0.0
cat__Route_JFK_BUF,0.0
cat__Route_IAG_PIE,0.0
cat__Route_JFK_BQN,0.0
cat__Dest_ORF,0.0
cat__Dest_OMA,0.0
cat__Dest_OKC,0.0
cat__Dest_MYR,0.0
cat__Dest_MVY,0.0
cat__Dest_MSY,0.0
cat__Dest_MSP,0.0
cat__Dest_MSN,0.0
cat__Dest_MKE,0.0
cat__Dest_MIA,0.0
cat__Dest_MHT,0.0
cat__Dest_MEM,0.0
cat__Dest_MCI,0.0
cat__Dest_LIT,0.0
cat__Dest_LGA,0.0
cat__Dest_LAS,0.0
cat__Dest_JFK,0.0
cat__Dest_JAX,0.0
cat__Dest_ITH,0.0
cat__Dest_IND,0.0
cat__Dest_ILM,0.0
cat__Dest_IAH,0.0
cat__Dest_IAD,0.0
cat__Dest_HYA,0.0
cat__Dest_ONT,0.0
cat__Dest_ORH,0.0
cat__Dest_SFO,0.0
cat__Dest_PBI,0.0
cat__Dest_SEA,0.0
cat__Dest_SDF,0.0
cat__Dest_SBN,0.0
cat__Dest_SAV,0.0
cat__Dest_SAT,0.0
cat__Dest_SAN,0.0
cat__Dest_RSW,0.0
cat__Dest_ROC,0.0
cat__Dest_ROA,0.0
cat__Dest_RNO,0.0
cat__Dest_RIC,0.0
cat__Dest_RDU,0.0
cat__Dest_PWM,0.0
cat__Dest_PVD,0.0
cat__Dest_PSP,0.0
cat__Dest_PSE,0.0
cat__Dest_PNS,0.0
cat__Dest_PIT,0.0
cat__Dest_PIE,0.0
cat__Dest_PHX,0.0
cat__Dest_PHL,0.0
cat__Dest_PGD,0.0
cat__Dest_PDX,0.0
cat__Dest_HOU,0.0
cat__Dest_HNL,0.0
cat__Dest_HHH,0.0
cat__Dest_GSP,0.0
cat__Dest_BGR,0.0
cat__Dest_BDL,0.0
cat__Dest_AVL,0.0
cat__Dest_AUS,0.0
cat__Dest_ATL,0.0
cat__Dest_ANC,0.0
cat__Dest_ALB,0.0
cat__Dest_AGS,0.0
cat__Dest_ACK,0.0
cat__Dest_ABQ,0.0
cat__Origin_SWF,0.0
cat__Origin_PBG,0.0
cat__Origin_ITH,0.0
cat__Origin_ISP,0.0
cat__Origin_IAG,0.0
cat__Origin_ELM,0.0
cat__Origin_BGM,0.0
cat__Reporting_Airline_UA,0.0
cat__Reporting_Airline_NK,0.0
cat__Reporting_Airline_HA,0.0
cat__Reporting_Airline_F9,0.0
cat__Reporting_Airline_9E,0.0
num__IsFixedHoliday,0.0
cat__Dest_BHM,0.0
cat__Dest_BNA,0.0
cat__Dest_BQN,0.0
cat__Dest_DAL,0.0
cat__Dest_GSO,0.0
cat__Dest_GRR,0.0
cat__Dest_GRB,0.0
cat__Dest_FCA,0.0
cat__Dest_EYW,0.0
cat__Dest_EWR,0.0
cat__Dest_EGE,0.0
cat__Dest_DSM,0.0
cat__Dest_DEN,0.0
cat__Dest_DAY,0.0
cat__Dest_CVG,0.0
cat__Dest_BTV,0.0
cat__Dest_CMH,0.0
cat__Dest_CLE,0.0
cat__Dest_CHS,0.0
cat__Dest_CHO,0.0
cat__Dest_CHA,0.0
cat__Dest_CAE,0.0
cat__Dest_BZN,0.0
cat__Dest_BWI,0.0
cat__Dest_BUR,0.0
cat__Dest_BUF,0.0
cat__Dest_SFB,0.0
cat__Dest_SJU,0.0
cat__Route_JFK_BOS,0.0
cat__Route_HPN_MCO,0.0
cat__Route_HPN_DTW,0.0
cat__Route_HPN_DCA,0.0
cat__Route_HPN_CLT,0.0
cat__Route_HPN_ATL,0.0
cat__Route_HPN_ACK,0.0
cat__Route_ELM_SRQ,0.0
cat__Route_ELM_SFB,0.0
cat__Route_ELM_PIE,0.0
cat__Route_ELM_PGD,0.0
cat__Route_ELM_DTW,0.0
cat__Route_BUF_TPA,0.0
cat__Route_BUF_SRQ,0.0
cat__Route_BUF_RSW,0.0
cat__Route_BUF_RDU,0.0
cat__Route_BUF_PHX,0.0
cat__Route_BUF_PHL,0.0
cat__Route_BUF_PBI,0.0
cat__Route_BUF_ORD,0.0
cat__Route_BUF_MSY,0.0
cat__Route_BUF_MSP,0.0
cat__Route_BUF_MIA,0.0
cat__Route_BUF_MDW,0.0
cat__Route_BUF_MCO,0.0
cat__Route_HPN_FLL,0.0
cat__Route_HPN_MIA,0.0
cat__Dest_SLC,0.0
cat__Route_HPN_ORD,0.0
cat__Route_JFK_BGR,0.0
cat__Route_JFK_BDL,0.0
cat__Route_JFK_AUS,0.0
cat__Route_JFK_ATL,0.0
cat__Route_JFK_ANC,0.0
cat__Route_JFK_ACK,0.0
cat__Route_JFK_ABQ,0.0
cat__Route_ITH_JFK,0.0
cat__Route_ITH_EWR,0.0
cat__Route_ISP_TPA,0.0
cat__Route_ISP_RSW,0.0
cat__Route_ISP_PBI,0.0
cat__Route_ISP_MYR,0.0
cat__Route_ISP_MIA,0.0
cat__Route_ISP_MCO,0.0
cat__Route_ISP_FLL,0.0
cat__Route_ISP_BWI,0.0
cat__Route_IAG_SFB,0.0
cat__Route_IAG_PGD,0.0
cat__Route_IAG_MYR,0.0
cat__Route_HPN_TPA,0.0
cat__Route_HPN_RSW,0.0
cat__Route_HPN_PBI,0.0
cat__Route_BUF_MCI,0.0
cat__Route_BUF_LGA,0.0
cat__Route_BUF_LAX,0.0
cat__Route_BUF_LAS,0.0
cat__Route_ALB_LGA,0.0
cat__Route_ALB_LAS,0.0
cat__Route_ALB_FLL,0.0
cat__Route_ALB_EWR,0.0
cat__Route_ALB_DTW,0.0
cat__Route_ALB_DFW,0.0
cat__Route_ALB_DEN,0.0
cat__Route_ALB_DCA,0.0
cat__Route_ALB_CLT,0.0
cat__Route_ALB_BWI,0.0
cat__Route_ALB_BNA,0.0
cat__Route_ALB_ATL,0.0
cat__Dest_XNA,0.0
cat__Dest_TYS,0.0
cat__Dest_TVC,0.0
cat__Dest_TUL,0.0
cat__Dest_TPA,0.0
cat__Dest_SYR,0.0
cat__Dest_STT,0.0
cat__Dest_STL,0.0
cat__Dest_SRQ,0.0
cat__Dest_SNA,0.0
cat__Dest_SMF,0.0
cat__Route_ALB_MCO,0.0
cat__Route_ALB_MDW,0.0
cat__Route_ALB_MIA,0.0
cat__Route_BUF_BWI,0.0
cat__Route_BUF_JFK,0.0
cat__Route_BUF_IAD,0.0
cat__Route_BUF_HOU,0.0
cat__Route_BUF_FLL,0.0
cat__Route_BUF_EWR,0.0
cat__Route_BUF_DTW,0.0
cat__Route_BUF_DFW,0.0
cat__Route_BUF_DEN,0.0
cat__Route_BUF_DAL,0.0
cat__Route_BUF_CLT,0.0
cat__Route_BUF_BOS,0.0
cat__Route_ALB_MYR,0.0
cat__Route_BUF_BNA,0.0
cat__Route_BUF_ATL,0.0
cat__Route_BGM_DTW,0.0
cat__Route_ALB_TPA,0.0
cat__Route_ALB_SRQ,0.0
cat__Route_ALB_SFB,0.0
cat__Route_ALB_RSW,0.0
cat__Route_ALB_PIE,0.0
cat__Route_ALB_PGD,0.0
cat__Route_ALB_ORD,0.0
cat__Wind_type_Windy,0.0
